contrast,progress_bin,odds.ratio,SE,df,null,z.ratio,p.value,progress_bin_index,progress_start,progress_end,Figure_Panel,Panel,fix,p.value_fdr,significant_fdr
CTRL / ASD,10,0.47113813056150694,0.16939376426154656,Inf,1,-2.093231843339481,0.0363284634607288,10,0.8999999999999999,1,A,Female,Background,0.06054743910121467,FALSE
CTRL / ASD,01,1.1157294989247535,0.401767629370924,Inf,1,0.30411063318617443,0.7610436061554834,1,0,0.1,A,Male,Background,0.9513045076943543,FALSE
CTRL / ASD,02,1.2614091186924852,0.45426384558399113,Inf,1,0.6448594609701095,0.5190182646594185,2,0.10000000000000002,0.2,A,Male,Background,0.9513045076943543,FALSE
CTRL / ASD,03,1.2624911365202929,0.4550945044816206,Inf,1,0.6466131624683479,0.517882337070032,3,0.2,0.3,A,Male,Background,0.9513045076943543,FALSE
CTRL / ASD,04,1.0216753765435824,0.366223883647557,Inf,1,0.05982299187268825,0.9522966135025646,4,0.30000000000000004,0.4,A,Male,Background,0.9522966135025646,FALSE
CTRL / ASD,05,0.8872480819155381,0.3182511467182265,Inf,1,-0.3335166745329653,0.7387443048052966,5,0.4,0.5,A,Male,Background,0.9513045076943543,FALSE
CTRL / ASD,06,1.0621226130696924,0.38093625863097075,Inf,1,0.16804244906829086,0.8665498843507558,6,0.5,0.6000000000000001,A,Male,Background,0.9522966135025646,FALSE
CTRL / ASD,07,1.30022288775509,0.4671918302433565,Inf,1,0.7306526063889851,0.46499137083475106,7,0.6000000000000001,0.7000000000000002,A,Male,Background,0.9513045076943543,FALSE
CTRL / ASD,08,1.2276578381183205,0.44126630750182827,Inf,1,0.57063644531412006,0.5682461082511848,8,0.7000000000000001,0.8000000000000002,A,Male,Background,0.9513045076943543,FALSE
CTRL / ASD,09,1.3169351310217987,0.47469496905023584,Inf,1,0.7637782216892657,0.4449994171812596,9,0.8,0.9000000000000001,A,Male,Background,0.9513045076943543,FALSE
CTRL / ASD,10,0.8552264781831721,0.3085803685403545,Inf,1,-0.43342996417975943,0.6647024358863919,10,0.8999999999999999,1,A,Male,Background,0.9513045076943543,FALSE
