contrast,progress_bin,medication,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication
ASD / CTRL,07,PLA,0.38557913832799307,0.13213998249340628,Inf,1,-2.780841290649009,0.005421823619992317,**,07_PLA
ASD / CTRL,08,PLA,0.27523151529456646,0.09430822399891846,Inf,1,-3.765185099109812,1.664257484382164e-4,**,08_PLA
ASD / CTRL,09,PLA,0.5470319551400918,0.1840509797172068,Inf,1,-1.7929595694353437,0.07297938909456139,,09_PLA
ASD / CTRL,10,PLA,0.7534587631302693,0.25851547953341836,Inf,1,-0.825056405168163,0.4093395683582211,,10_PLA
ASD / CTRL,11,PLA,0.4120146573342483,0.14224137515650231,Inf,1,-2.568394000254757,0.01021709543706838,*,11_PLA
ASD / CTRL,12,PLA,0.5255400954263337,0.1777323764187324,Inf,1,-1.9022706023037277,0.05713578687676828,,12_PLA
ASD / CTRL,13,PLA,0.5641604446380827,0.19196286248178684,Inf,1,-1.682277471161776,0.09251504761618436,,13_PLA
ASD / CTRL,14,PLA,0.6068260572596579,0.20567310479905263,Inf,1,-1.4737831640999526,0.14053998272275559,,14_PLA
ASD / CTRL,15,PLA,0.7592691641745523,0.25356531778144137,Inf,1,-0.8246471583794012,0.4095719397187259,,15_PLA
ASD / CTRL,16,PLA,0.6009143837394063,0.20190629632489673,Inf,1,-1.5157892068774819,0.12957266206966114,,16_PLA
ASD / CTRL,17,PLA,0.5763331110370896,0.19549564717796936,Inf,1,-1.6245864564618315,0.10425070486674784,,17_PLA
ASD / CTRL,18,PLA,0.7043032166697578,0.23582966350714538,Inf,1,-1.0469034730037445,0.2951440999218419,,18_PLA
ASD / CTRL,19,PLA,0.44531480611253915,0.14957602081470378,Inf,1,-2.4084610401456428,0.016019936045615565,*,19_PLA
ASD / CTRL,20,PLA,0.32961409368006334,0.11076020421558956,Inf,1,-3.3027792731095396,9.573170929603553e-4,**,20_PLA
