scenario_shift,simulation,converged,pdHess,p_group_fix_medication,p_medication,error,scenario_label
0.12,29,TRUE,TRUE,0.4344708797446459,0.3436258589665709,NA,+/-12% shift
0.12,30,TRUE,TRUE,0.3630439363234932,0.0032198908528610353,NA,+/-12% shift
0.12,31,TRUE,TRUE,0.08686128651073922,0.4160785111016237,NA,+/-12% shift
0.12,32,TRUE,TRUE,0.0016686965591622227,0.9453945803769951,NA,+/-12% shift
0.12,33,TRUE,TRUE,0.0018817659096634044,0.5395125592957646,NA,+/-12% shift
0.12,34,TRUE,TRUE,0.001184153901992945,0.9980192398092446,NA,+/-12% shift
0.12,35,TRUE,TRUE,0.09398246825502576,0.9391903346705935,NA,+/-12% shift
0.12,36,TRUE,TRUE,0.12246572947487411,0.5168274669313736,NA,+/-12% shift
0.12,37,TRUE,TRUE,0.00505245384002706,0.40418772179396184,NA,+/-12% shift
0.12,38,TRUE,TRUE,0.19150808295736196,0.017093714819574436,NA,+/-12% shift
0.12,39,TRUE,TRUE,0.3209835584899755,0.43072376985005073,NA,+/-12% shift
0.12,40,TRUE,TRUE,1.2176255344522613e-4,0.7935469914248581,NA,+/-12% shift
0.12,41,TRUE,TRUE,0.09162720405608407,0.259770299198332,NA,+/-12% shift
0.12,42,TRUE,TRUE,0.04392284645241642,0.13460567452554262,NA,+/-12% shift
0.12,43,TRUE,TRUE,0.5961833907752566,0.6889274835776091,NA,+/-12% shift
0.12,44,TRUE,TRUE,0.054514309040110114,0.8918760421978575,NA,+/-12% shift
0.12,45,TRUE,TRUE,0.07802581730426633,0.039851697077993506,NA,+/-12% shift
0.12,46,TRUE,TRUE,0.22413811207528267,0.48502011095714204,NA,+/-12% shift
0.12,47,TRUE,TRUE,0.030993681901053383,0.10528452113558351,NA,+/-12% shift
0.12,48,TRUE,TRUE,5.421259561265586e-4,0.028471803774704645,NA,+/-12% shift
0.12,49,TRUE,TRUE,0.6017863882424441,0.22252800934424477,NA,+/-12% shift
0.12,50,TRUE,TRUE,0.056094390721501956,0.8406798907942288,NA,+/-12% shift
0.12,51,TRUE,TRUE,0.00345663903689426,0.5442059813765577,NA,+/-12% shift
0.12,52,TRUE,TRUE,0.23130582747648107,0.06968625328366929,NA,+/-12% shift
0.12,53,TRUE,TRUE,0.15600056319533984,0.5688737097563362,NA,+/-12% shift
0.12,54,TRUE,TRUE,0.031637526986947266,0.7143742153340925,NA,+/-12% shift
0.12,55,TRUE,TRUE,0.0543665214816001,0.8159006835361378,NA,+/-12% shift
0.12,56,TRUE,TRUE,0.00130453054541621,0.39880809626734687,NA,+/-12% shift
0.12,57,TRUE,TRUE,0.10578965980969794,0.8906361321723092,NA,+/-12% shift
0.12,58,TRUE,TRUE,0.04410338866354973,0.41972766179556387,NA,+/-12% shift
0.12,59,TRUE,TRUE,0.011850712094205513,0.7430587854134527,NA,+/-12% shift
0.12,60,TRUE,TRUE,0.07716049553122707,0.2182071089359178,NA,+/-12% shift
0.12,61,TRUE,TRUE,0.16030721371950638,0.8858514825574296,NA,+/-12% shift
0.12,62,TRUE,TRUE,0.001572570940751138,0.7414250752208755,NA,+/-12% shift
0.12,63,TRUE,TRUE,0.10516213164580594,0.04539708608785546,NA,+/-12% shift
0.12,64,TRUE,TRUE,0.18498182390788617,0.5694894286002258,NA,+/-12% shift
0.12,65,TRUE,TRUE,5.6739569393491415e-5,0.6336538756249932,NA,+/-12% shift
0.12,66,TRUE,TRUE,0.04839649687543822,0.8178450880882445,NA,+/-12% shift
0.12,67,TRUE,TRUE,0.8581363790359507,0.22768468966781205,NA,+/-12% shift
0.12,68,TRUE,TRUE,7.675381445650255e-4,0.5935121204193088,NA,+/-12% shift
0.12,69,TRUE,TRUE,0.014557205849037521,0.33376877719796005,NA,+/-12% shift
0.12,70,TRUE,TRUE,3.6844695968372694e-4,0.12670314517307596,NA,+/-12% shift
0.12,71,TRUE,TRUE,0.01063833120791163,0.3271976966971574,NA,+/-12% shift
0.12,72,TRUE,TRUE,0.06879216162227209,0.6755326821880351,NA,+/-12% shift
0.12,73,TRUE,TRUE,0.012390739971877097,0.1744527881742593,NA,+/-12% shift
0.12,74,TRUE,TRUE,3.9874055320492574e-4,0.09768307435517386,NA,+/-12% shift
0.12,75,TRUE,TRUE,0.006506334658246317,0.9824712470762661,NA,+/-12% shift
0.12,76,TRUE,TRUE,0.003360634824314137,0.31787288029405814,NA,+/-12% shift
0.12,77,TRUE,TRUE,0.5281540126518791,0.4951050671393629,NA,+/-12% shift
0.12,78,TRUE,TRUE,0.010564148948793553,0.7844982859304888,NA,+/-12% shift
0.12,79,TRUE,TRUE,0.0996078033109086,0.18894373543489595,NA,+/-12% shift
0.12,80,TRUE,TRUE,0.002272552644467306,0.1694301232499811,NA,+/-12% shift
0.12,81,TRUE,TRUE,0.014017995221922432,0.07032356240647866,NA,+/-12% shift
0.12,82,TRUE,TRUE,0.43656775361645367,0.028863151255444086,NA,+/-12% shift
0.12,83,TRUE,TRUE,0.3654997757946868,0.9293647645263755,NA,+/-12% shift
0.12,84,TRUE,TRUE,0.00421210454678211,0.6189415204503447,NA,+/-12% shift
0.12,85,TRUE,TRUE,0.07592317436279292,0.027018820197381395,NA,+/-12% shift
0.12,86,TRUE,TRUE,0.06607550153583468,0.9068632470325473,NA,+/-12% shift
0.12,87,TRUE,TRUE,0.1273565223260096,0.001804028823386361,NA,+/-12% shift
0.12,88,TRUE,TRUE,0.17017793189891178,0.27105738153734216,NA,+/-12% shift
0.12,89,TRUE,TRUE,0.002068288115590805,0.6953168993608705,NA,+/-12% shift
0.12,90,TRUE,TRUE,0.3095331569781784,0.5359447045755759,NA,+/-12% shift
0.12,91,TRUE,TRUE,0.04428594932926742,0.7147302714969057,NA,+/-12% shift
0.12,92,TRUE,TRUE,7.388858863934443e-4,0.26454338755836954,NA,+/-12% shift
0.12,93,TRUE,TRUE,0.005947160938542055,0.29557832866833217,NA,+/-12% shift
0.12,94,TRUE,TRUE,0.012470551744896889,0.6107948946780399,NA,+/-12% shift
0.12,95,TRUE,TRUE,0.246655863838668,0.3797483457295774,NA,+/-12% shift
0.12,96,TRUE,TRUE,0.2510009826004579,0.477741472568801,NA,+/-12% shift
0.12,97,TRUE,TRUE,0.03451821091787787,0.5786178526697012,NA,+/-12% shift
0.12,98,TRUE,TRUE,0.5430954102484356,0.1478561065441394,NA,+/-12% shift
0.12,99,TRUE,TRUE,2.078078609945596e-4,0.008578959239465367,NA,+/-12% shift
0.12,100,TRUE,TRUE,0.3873027385766216,0.9443386548107751,NA,+/-12% shift
0.16,1,TRUE,TRUE,0.06527943992099246,0.5555978822036141,NA,+/-16% shift
0.16,2,TRUE,TRUE,0.03043324115127581,0.6616330918492467,NA,+/-16% shift
0.16,3,TRUE,TRUE,0.008162668640829195,0.4074986193525057,NA,+/-16% shift
0.16,4,TRUE,TRUE,3.7519247592025696e-5,0.39813716716536107,NA,+/-16% shift
0.16,5,TRUE,TRUE,0.07225847230624946,0.8678949069872166,NA,+/-16% shift
0.16,6,TRUE,TRUE,5.5462448841059695e-5,0.1423655547623654,NA,+/-16% shift
0.16,7,TRUE,TRUE,0.015577470904138507,0.25486105953900046,NA,+/-16% shift
0.16,8,TRUE,TRUE,4.636201768548668e-5,0.4268041962185806,NA,+/-16% shift
0.16,9,TRUE,TRUE,6.073235043676975e-4,0.23680513519675853,NA,+/-16% shift
0.16,10,TRUE,TRUE,3.3866050612269254e-4,0.5972134006567573,NA,+/-16% shift
0.16,11,TRUE,TRUE,2.8502326593343323e-4,0.4298330006323062,NA,+/-16% shift
0.16,12,TRUE,TRUE,0.004166622332187038,0.01761226828180689,NA,+/-16% shift
0.16,13,TRUE,TRUE,4.879117762239419e-4,0.8988702373771971,NA,+/-16% shift
0.16,14,TRUE,TRUE,0.008237923030006634,0.5127900457970205,NA,+/-16% shift
0.16,15,TRUE,TRUE,2.5781366234325405e-4,0.0014266839821910487,NA,+/-16% shift
0.16,16,TRUE,TRUE,7.745286981826841e-4,0.3472671891701051,NA,+/-16% shift
0.16,17,TRUE,TRUE,5.542856479250379e-5,0.01943322420577165,NA,+/-16% shift
0.16,18,TRUE,TRUE,4.692444406265323e-5,0.12264293181296909,NA,+/-16% shift
0.16,19,TRUE,TRUE,8.660835746224004e-7,0.43503601923722257,NA,+/-16% shift
0.16,20,TRUE,TRUE,0.11940978895193329,0.3749332834153794,NA,+/-16% shift
0.16,21,TRUE,TRUE,0.07284162901973458,0.4896520991243924,NA,+/-16% shift
0.16,22,TRUE,TRUE,7.381959200126902e-5,0.08264644195637817,NA,+/-16% shift
0.16,23,TRUE,TRUE,8.979601613490241e-5,0.25255373012815346,NA,+/-16% shift
0.16,24,TRUE,TRUE,0.08744004761894496,0.07587793731921906,NA,+/-16% shift
0.16,25,TRUE,TRUE,0.004255683176924657,0.5619028044891473,NA,+/-16% shift
0.16,26,TRUE,TRUE,1.171840154614831e-5,0.9442763314506858,NA,+/-16% shift
0.16,27,TRUE,TRUE,0.010403190558083511,0.2519783759807735,NA,+/-16% shift
0.16,28,TRUE,TRUE,0.01217218843393095,0.10226362978483235,NA,+/-16% shift
0.16,29,TRUE,TRUE,0.04479730000109195,0.578946045639108,NA,+/-16% shift
0.16,30,TRUE,TRUE,1.8699999463896272e-6,0.12348084989941337,NA,+/-16% shift
0.16,31,TRUE,TRUE,2.0444107438245164e-4,0.4027470442008061,NA,+/-16% shift
0.16,32,TRUE,TRUE,3.577221937023981e-5,0.08930145926247705,NA,+/-16% shift
0.16,33,TRUE,TRUE,1.7437321227885353e-4,0.8360639094176728,NA,+/-16% shift
0.16,34,TRUE,TRUE,0.09167416237566668,0.2107771526829995,NA,+/-16% shift
0.16,35,TRUE,TRUE,3.324954498180275e-4,0.32642577443520343,NA,+/-16% shift
0.16,36,TRUE,TRUE,6.308005162900147e-4,0.44830439571532854,NA,+/-16% shift
0.16,37,TRUE,TRUE,5.285044853061835e-5,0.9393492979721798,NA,+/-16% shift
0.16,38,TRUE,TRUE,0.045783268635529055,0.8169390430432938,NA,+/-16% shift
0.16,39,TRUE,TRUE,0.06009206555676688,0.5095879934011744,NA,+/-16% shift
0.16,40,TRUE,TRUE,0.07942224488922887,0.2408595987250821,NA,+/-16% shift
0.16,41,TRUE,TRUE,5.574917618473459e-4,0.9925735449040245,NA,+/-16% shift
0.16,42,TRUE,TRUE,0.001218860543096428,0.37275080598746785,NA,+/-16% shift
0.16,43,TRUE,TRUE,1.4132415602375513e-5,0.7519534967745365,NA,+/-16% shift
0.16,44,TRUE,TRUE,1.3617055041754384e-4,0.4478652287766806,NA,+/-16% shift
0.16,45,TRUE,TRUE,1.753686044852113e-4,0.7389113076292187,NA,+/-16% shift
0.16,46,TRUE,TRUE,0.007219788033787117,1.9425083915069883e-4,NA,+/-16% shift
0.16,47,TRUE,TRUE,2.7212341897961117e-7,0.1906850333375347,NA,+/-16% shift
0.16,48,TRUE,TRUE,0.0011880613578079122,0.3267456929714057,NA,+/-16% shift
0.16,49,TRUE,TRUE,0.004568965531138757,0.03822287736834876,NA,+/-16% shift
0.16,50,TRUE,TRUE,6.658254252204492e-8,0.5997258314486542,NA,+/-16% shift
0.16,51,TRUE,TRUE,2.0078693314408565e-4,0.5862712889392372,NA,+/-16% shift
0.16,52,TRUE,TRUE,0.25020786536202533,0.3628965582429098,NA,+/-16% shift
0.16,53,TRUE,TRUE,0.06559437439922627,0.372232732483122,NA,+/-16% shift
0.16,54,TRUE,TRUE,0.0011641504968386768,0.586042468818642,NA,+/-16% shift
0.16,55,TRUE,TRUE,9.755728116802357e-5,0.0564601478338112,NA,+/-16% shift
0.16,56,TRUE,TRUE,0.05021068617816091,0.02734522667230729,NA,+/-16% shift
0.16,57,TRUE,TRUE,2.032241746178399e-5,0.33423069323421645,NA,+/-16% shift
0.16,58,TRUE,TRUE,7.483404187495966e-8,0.6445597009502185,NA,+/-16% shift
0.16,59,TRUE,TRUE,0.040666892864915385,0.18216775997843737,NA,+/-16% shift
0.16,60,TRUE,TRUE,2.7124013249174473e-5,0.058382703040211176,NA,+/-16% shift
0.16,61,TRUE,TRUE,7.1476609775347e-4,0.5121995918211654,NA,+/-16% shift
0.16,62,TRUE,TRUE,1.954153528077499e-4,0.10824868016612782,NA,+/-16% shift
0.16,63,TRUE,TRUE,0.05325905087816065,0.5321180868535321,NA,+/-16% shift
0.16,64,TRUE,TRUE,0.08982560441071055,0.05097672447168803,NA,+/-16% shift
0.16,65,TRUE,TRUE,3.225215701994485e-5,0.16282099153588825,NA,+/-16% shift
0.16,66,TRUE,TRUE,0.006166024092863508,0.44853130020970544,NA,+/-16% shift
0.16,67,TRUE,TRUE,0.0019091173916814593,0.6189716528480441,NA,+/-16% shift
0.16,68,TRUE,TRUE,0.005009280303649448,0.4650522325444592,NA,+/-16% shift
0.16,69,TRUE,TRUE,0.007114481179952563,0.1737604121184479,NA,+/-16% shift
0.16,70,TRUE,TRUE,0.011701292791820837,0.5590094750374548,NA,+/-16% shift
0.16,71,TRUE,TRUE,0.004103163996451952,0.11725435032777304,NA,+/-16% shift
0.16,72,TRUE,TRUE,0.08610421117116726,0.5305882416192812,NA,+/-16% shift
0.16,73,TRUE,TRUE,0.011143785857664793,8.160905271674929e-4,NA,+/-16% shift
0.16,74,TRUE,TRUE,3.5238290353533836e-5,0.19502520475609816,NA,+/-16% shift
0.16,75,TRUE,TRUE,3.730670419685382e-5,0.2520326313939164,NA,+/-16% shift
0.16,76,TRUE,TRUE,2.0322985238375428e-5,0.7659533198383803,NA,+/-16% shift
0.16,77,TRUE,TRUE,0.17932497166850844,0.14863438743775945,NA,+/-16% shift
0.16,78,TRUE,TRUE,0.20263226617729452,0.1585309730307366,NA,+/-16% shift
0.16,79,TRUE,TRUE,1.9955874138434862e-5,0.16891950800210623,NA,+/-16% shift
0.16,80,TRUE,TRUE,3.768753698299589e-4,0.21103049459455184,NA,+/-16% shift
0.16,81,TRUE,TRUE,0.0010178398174943725,0.6961104370083152,NA,+/-16% shift
