contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,30,BOTH,m,0.784015252706949,0.35216602923198453,Inf,1,-0.5417101871443104,0.5880181708035594
ASD / CTRL,31,BOTH,m,0.9954471342017674,0.4482503787211499,Inf,1,-0.01013381350110722,0.9919145250541791
ASD / CTRL,32,BOTH,m,0.9417093296980508,0.42314211185109124,Inf,1,-0.13366138813901776,0.8936703389219822
ASD / CTRL,33,BOTH,m,1.1954903677836506,0.5415372198003154,Inf,1,0.39417884728783903,0.6934490015055599
ASD / CTRL,34,BOTH,m,1.380648579811742,0.6256772664364579,Inf,1,0.7117612894014932,0.4766126075864358
ASD / CTRL,35,BOTH,m,1.111961350978953,0.5046261151919325,Inf,1,0.23385112833340638,0.8151005551689531
ASD / CTRL,36,BOTH,m,1.6489889657892245,0.7539499976459281,Inf,1,1.0939216158762473,0.2739893575207656
ASD / CTRL,37,BOTH,m,1.3783016159184296,0.6243453409461452,Inf,1,0.7083113139828907,0.47875195264023324
ASD / CTRL,01,NAL,m,0.7925788231896628,0.36846431465512924,Inf,1,-0.5000362170428767,0.6170495761528059
ASD / CTRL,02,NAL,m,0.7913168116388702,0.3677189003087234,Inf,1,-0.5036813085892639,0.6144853452132765
ASD / CTRL,03,NAL,m,0.7870164397729658,0.3635255843003222,Inf,1,-0.5185199584853785,0.6040955385498237
ASD / CTRL,04,NAL,m,0.8483375834457322,0.38927495165024206,Inf,1,-0.35843997963966406,0.7200140770567526
ASD / CTRL,05,NAL,m,0.7204388977902788,0.3333675731081118,Inf,1,-0.7086114410939641,0.478565634438832
ASD / CTRL,06,NAL,m,0.7835694137944762,0.3646421708050607,Inf,1,-0.5241005250282158,0.6002086234073525
ASD / CTRL,07,NAL,m,0.6558883276572145,0.3065810238376964,Inf,1,-0.9023081872286052,0.3668931776153625
ASD / CTRL,08,NAL,m,0.6193955634958141,0.28954746367203527,Inf,1,-1.0246934727388064,0.30550784387105234
ASD / CTRL,09,NAL,m,0.5842193529604417,0.27121999813396686,Inf,1,-1.1577519979949225,0.246965257497144
ASD / CTRL,10,NAL,m,0.6538870073837902,0.29771527757143285,Inf,1,-0.9330550573073991,0.35079154210035396
ASD / CTRL,11,NAL,m,0.6816961200205207,0.31154991160464,Inf,1,-0.8384094281605724,0.4018007961192042
ASD / CTRL,12,NAL,m,0.8739527053516085,0.3968196294824989,Inf,1,-0.29672622200557414,0.7666755359061348
ASD / CTRL,13,NAL,m,0.7692139218920825,0.3514064789173114,Inf,1,-0.5743522219949074,0.5657294772518027
ASD / CTRL,14,NAL,m,0.8103293985211275,0.36886245798165596,Inf,1,-0.4620258239476109,0.6440628017131884
ASD / CTRL,15,NAL,m,0.7368284529105034,0.33588514858377533,Inf,1,-0.6699538266608007,0.502887224961927
ASD / CTRL,16,NAL,m,0.7400773838429549,0.33823236564420595,Inf,1,-0.6586113691872706,0.5101453602654356
ASD / CTRL,17,NAL,m,0.763452261117723,0.34971970743061703,Inf,1,-0.5892128349494663,0.5557185082491893
ASD / CTRL,18,NAL,m,0.6693134635074646,0.30855082846065435,Inf,1,-0.8709463303943147,0.3837834580965335
ASD / CTRL,19,NAL,m,0.7384898436006713,0.3385062629975333,Inf,1,-0.6613516255732393,0.5083868409272265
ASD / CTRL,20,NAL,m,0.7590116991669658,0.34867916063039184,Inf,1,-0.6002321278819863,0.5483515448316016
ASD / CTRL,21,NAL,m,0.43501469032314183,0.19733190742091355,Inf,1,-1.834956978604277,0.06651206413234123
ASD / CTRL,22,NAL,m,0.39289381047207933,0.17818208522453868,Inf,1,-2.0599581975013,0.03940253727415756
ASD / CTRL,23,NAL,m,0.47153922387960967,0.21586221342034206,Inf,1,-1.6421633792050598,0.10055614976967288
ASD / CTRL,24,NAL,m,0.432784284044421,0.1980021146105973,Inf,1,-1.8306052158036283,0.06715948949521813
