contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,01,NAL,m,1.0389511917154883,0.4972443251200735,Inf,1,0.0798402825409514,0.9363642857339782
ASD / CTRL,02,NAL,m,0.9020708560768138,0.4323100245102918,Inf,1,-0.21505264408448832,0.8297262745718179
ASD / CTRL,03,NAL,m,1.0932386252683033,0.522002082794856,Inf,1,0.18669699071529497,0.8518982156780095
ASD / CTRL,04,NAL,m,1.1736880095935351,0.5602063287945199,Inf,1,0.33553214921690544,0.7372236972707511
ASD / CTRL,05,NAL,m,1.0202600552573113,0.4866030033515104,Inf,1,0.04205464800736837,0.9664551338078454
ASD / CTRL,06,NAL,m,0.9103919838884241,0.4350247566027623,Inf,1,-0.19646610218921062,0.8442453621387747
ASD / CTRL,07,NAL,m,0.9629384568462777,0.46129298694794213,Inf,1,-0.0788351872291479,0.937163715771817
ASD / CTRL,08,NAL,m,0.8124763344156266,0.3879536194615326,Inf,1,-0.43491213060293404,0.663626209171855
ASD / CTRL,09,NAL,m,0.7961892749955327,0.37969655600340657,Inf,1,-0.47792410548656256,0.6327042236790847
ASD / CTRL,10,NAL,m,0.6647720035597552,0.31848554198293555,Inf,1,-0.8522641839318839,0.3940674800506201
ASD / CTRL,11,NAL,m,0.6906202786221917,0.32907794628615905,Inf,1,-0.7768480038664985,0.4372484512720925
ASD / CTRL,12,NAL,m,0.7682052879238296,0.3636700778640516,Inf,1,-0.5570279907854917,0.5775083050444367
ASD / CTRL,13,NAL,m,1.117235555219477,0.5346754055653109,Inf,1,0.23164298388951557,0.8168153190695286
ASD / CTRL,14,NAL,m,1.3106796007350225,0.6253793454770498,Inf,1,0.5670139890940052,0.5707046773737917
