contrast,progress_window,medication,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,28,NAL,0.800438165520649,0.2593785808417756,Inf,1,-0.6869276899872853,0.4921282966929203
ASD / CTRL,29,NAL,0.7266708834386033,0.23645616489269172,Inf,1,-0.9812078656245646,0.326490246140574
ASD / CTRL,30,NAL,0.6484320858000454,0.21232336991060352,Inf,1,-1.322979597405951,0.18584216286793032
ASD / CTRL,31,NAL,0.7052551104653533,0.23363808354164833,Inf,1,-1.054074901318465,0.2918486261428291
ASD / CTRL,32,NAL,0.9317317321307005,0.30888238297560483,Inf,1,-0.213295019487974,0.831096858050193
ASD / CTRL,33,NAL,0.9644574934608335,0.3202106385838311,Inf,1,-0.1090009145847929,0.9132017649249031
ASD / CTRL,34,NAL,1.1220691368044142,0.3731664282996656,Inf,1,0.3463164347921102,0.7291049187572398
ASD / CTRL,35,NAL,1.0445237458905752,0.3486197233778564,Inf,1,0.13051624282617594,0.8961580041428168
ASD / CTRL,36,NAL,0.9902126928284566,0.3312457330928466,Inf,1,-0.029401901615378746,0.976544056191925
ASD / CTRL,37,NAL,1.1148634323437705,0.37333801370044584,Inf,1,0.32469566919309745,0.7454114127065177
ASD / CTRL,01,OXT,1.907277552991732,0.639903372684039,Inf,1,1.9244858439103227,0.054293713454641894
ASD / CTRL,02,OXT,1.638715493785631,0.5453746791426062,Inf,1,1.4840850228676603,0.1377863660186635
ASD / CTRL,03,OXT,1.6229849214610979,0.5415494152718628,Inf,1,1.451313607726639,0.14669255382926424
ASD / CTRL,04,OXT,1.2399536625294145,0.4008201884001721,Inf,1,0.6653402551089878,0.5058328886931769
ASD / CTRL,05,OXT,1.1017408307141383,0.35676244546961844,Inf,1,0.2992168192390136,0.7647746169453908
ASD / CTRL,06,OXT,1.2321671094385331,0.39830297982009816,Inf,1,0.645852733083742,0.5183747331215421
ASD / CTRL,07,OXT,1.3481784696248875,0.43373283547992386,Inf,1,0.9286229132001169,0.3530845429947194
ASD / CTRL,08,OXT,1.4654974892687929,0.4730255371013737,Inf,1,1.1840914050083653,0.23637688208277102
ASD / CTRL,09,OXT,1.5438202084634907,0.4965787191063938,Inf,1,1.3500767092939594,0.17699137836523499
ASD / CTRL,10,OXT,1.5330160852429868,0.4936249545624485,Inf,1,1.3268400005880587,0.18456161532034424
ASD / CTRL,11,OXT,1.5336577533931688,0.49481403296804,Inf,1,1.3255025891732162,0.18500451123947056
ASD / CTRL,12,OXT,1.1403998822284975,0.359042818573135,Inf,1,0.4172888569856451,0.6764671379941808
ASD / CTRL,13,OXT,1.1474058081543173,0.3600045334729756,Inf,1,0.43825115003069876,0.6612042332917643
ASD / CTRL,14,OXT,1.1295565299416543,0.35498109541821393,Inf,1,0.38764977590940264,0.698275227852888
ASD / CTRL,15,OXT,1.1242832112298717,0.3544814865685061,Inf,1,0.3715424759100608,0.7102335251363907
ASD / CTRL,16,OXT,1.6406775981859294,0.5196879516722016,Inf,1,1.5630818021114998,0.11803335536442806
ASD / CTRL,17,OXT,1.212205945679769,0.38262626477584055,Inf,1,0.609678712740034,0.5420746585336094
ASD / CTRL,18,OXT,1.5978110529688292,0.5108478370627365,Inf,1,1.4657780466335169,0.14270876370816238
ASD / CTRL,19,OXT,1.2714950445308757,0.4076096214424527,Inf,1,0.7492578992514884,0.4537017777437302
ASD / CTRL,20,OXT,1.3160922253554763,0.4195206622217337,Inf,1,0.8616667020966889,0.3888709540425662
ASD / CTRL,21,OXT,1.287041300452446,0.4106048367443319,Inf,1,0.7909788654607529,0.42895632456843596
ASD / CTRL,22,OXT,1.2255745944918994,0.38968618413059103,Inf,1,0.6397298184250875,0.5223482662398813
