model,contrast_family,fix,AQ_z.trend,std.error,df,statistic,p.value,Sex,medication,p_display,sig,significant_0_05,trait,selected_model,SIAS_z.trend
SIAS_main_analogue,trait_slope_by_aoi_sex,Face,NA,0.08559291636064575,Inf,-0.363920874221586,0.7159170965481316,m,NA,0.716,,FALSE,SIAS,main_analogue,-0.031149048949141292
SIAS_main_analogue,trait_slope_by_aoi_sex,Background,NA,0.08577773789157411,Inf,2.6507401938742388,0.0080315596317202809,m,NA,0.008,**,TRUE,SIAS,main_analogue,0.2273744975688048
SIAS_main_analogue,trait_slope_by_aoi_medication,Eyes,NA,0.11538612953861158,Inf,-0.14352960444806154,0.8858719323232451,NA,BOTH,0.886,,FALSE,SIAS,main_analogue,-0.01656132553146971
SIAS_main_analogue,trait_slope_by_aoi_medication,Mouth,NA,0.1357971926245324,Inf,-0.47750878773433963,0.6329998647249055,NA,BOTH,0.633,,FALSE,SIAS,main_analogue,-0.06484435282786707
SIAS_main_analogue,trait_slope_by_aoi_medication,Face,NA,0.11443348494746261,Inf,-1.037977095280165,0.29928071874460443,NA,BOTH,0.299,,FALSE,SIAS,main_analogue,-0.11877933630855372
SIAS_main_analogue,trait_slope_by_aoi_medication,Background,NA,0.11095015672046774,Inf,2.0554692940641925,0.03983369852866079,NA,BOTH,0.040,*,TRUE,SIAS,main_analogue,0.22805464031053135
SIAS_main_analogue,trait_slope_by_aoi_medication,Eyes,NA,0.1140287887996282,Inf,-1.0889770877899676,0.2761639896764185,NA,NAL,0.276,,FALSE,SIAS,main_analogue,-0.1241747383512364
SIAS_main_analogue,trait_slope_by_aoi_medication,Mouth,NA,0.12971724800991283,Inf,0.09863533966064161,0.9214278098336839,NA,NAL,0.921,,FALSE,SIAS,main_analogue,0.012794704817301439
SIAS_main_analogue,trait_slope_by_aoi_medication,Face,NA,0.11737931358111302,Inf,-0.6551794678233106,0.5123522121515236,NA,NAL,0.512,,FALSE,SIAS,main_analogue,-0.07690451620553912
SIAS_main_analogue,trait_slope_by_aoi_medication,Background,NA,0.11052886043275172,Inf,1.8749336102902892,0.06080185750077423,NA,NAL,0.061,.,FALSE,SIAS,main_analogue,0.20723427533245067
SIAS_main_analogue,trait_slope_by_aoi_medication,Eyes,NA,0.10837812620937715,Inf,-1.8705238200253036,0.0614111123591496,NA,OXT,0.061,.,FALSE,SIAS,main_analogue,-0.2027238666443486
SIAS_main_analogue,trait_slope_by_aoi_medication,Mouth,NA,0.13077477158424644,Inf,0.4648226940043577,0.6420584346643123,NA,OXT,0.642,,FALSE,SIAS,main_analogue,0.06078708163559396
SIAS_main_analogue,trait_slope_by_aoi_medication,Face,NA,0.1180901971448565,Inf,-0.7811045623507579,0.43474099878606143,NA,OXT,0.435,,FALSE,SIAS,main_analogue,-0.09224079175874784
SIAS_main_analogue,trait_slope_by_aoi_medication,Background,NA,0.11471523353991424,Inf,1.4875214656491393,0.13687713815176064,NA,OXT,0.137,,FALSE,SIAS,main_analogue,0.17064137232757653
SIAS_main_analogue,trait_slope_by_aoi_medication,Eyes,NA,0.11200704503877781,Inf,0.05599593010641156,0.9553450493806447,NA,PLA,0.955,,FALSE,SIAS,main_analogue,0.006271938665417094
