model,contrast_family,fix,term,contrast,null.value,estimate,std.error,df,statistic,p.value,medication,Sex,p_display,sig,significant_0_05
adjust_asd_medication_disorder_records,group_by_aoi,Background,Group,ASD - CTRL,0,0.27694592951497543,0.12809763296170615,Inf,2.161990999457159,0.030618869959589123,NA,NA,0.031,*,TRUE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.09715608869346483,0.2285467885870866,Inf,-0.4251037141851765,0.6707610704522164,NAL/OXT,NA,0.671,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,-0.164658694075203,0.25629946587729485,Inf,-0.6424464971535856,0.5205833177041903,NAL/OXT,NA,0.521,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.25470172560245574,0.24114541881491838,Inf,-1.0562163148450354,0.2908693986792883,NAL/OXT,NA,0.291,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.3953823620392195,0.22179376019266137,Inf,1.782657734355422,0.07464203543448093,NAL/OXT,NA,0.075,.,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,0.015218744301356724,0.23656122702785318,Inf,0.06433321509430977,0.9487049064030139,NAL/PLA,NA,0.949,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,-0.02789360605892477,0.25762573906631486,Inf,-0.10827181383357327,0.9137800804568843,NAL/PLA,NA,0.914,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.12890061428612107,0.24756343549749132,Inf,-0.5206771106043537,0.6025917222521184,NAL/PLA,NA,0.603,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.1151324132573195,0.2258550889103842,Inf,0.5097623162389857,0.6102179892687024,NAL/PLA,NA,0.610,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.20214588790672045,0.22522456028823118,Inf,-0.8975303921029936,0.36943596346664404,PLA/OXT,NA,0.369,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.21745098377743194,0.2518442308619388,Inf,0.863434445304561,0.3878986477640712,PLA/OXT,NA,0.388,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.23475950833181877,0.23625359845739477,Inf,-0.9936759053181345,0.3203806767616726,PLA/OXT,NA,0.320,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.19146679818774937,0.22025716339728474,Inf,0.8692874966449773,0.3846899000293754,PLA/OXT,NA,0.385,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.49751591380710836,0.23565564156494317,Inf,-2.111198825978458,0.03475522571129223,PLA/PLA,NA,0.035,*,TRUE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,-0.0062146058743597354,0.2626939833377771,Inf,-0.023657206744506488,0.9811260405140763,PLA/PLA,NA,0.981,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.03294169172597913,0.2475683285844586,Inf,-0.13306100951738253,0.8941451307827677,PLA/PLA,NA,0.894,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.4058021445756137,0.22731527352574446,Inf,1.7851952413116439,0.07422965358444791,PLA/PLA,NA,0.074,.,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_sex,Eyes,Group,ASD - CTRL,0,-0.46884004782336386,0.17619261273420464,Inf,-2.6609517876361393,0.0077920113518676,NA,f,0.008,**,TRUE
adjust_asd_medication_disorder_records,group_by_aoi_sex,Mouth,Group,ASD - CTRL,0,0.05687922040272057,0.20014935315338464,Inf,0.2841838832181043,0.7762694658497233,NA,f,0.776,,FALSE
adjust_asd_medication_disorder_records,group_by_aoi_sex,Face,Group,ASD - CTRL,0,-0.4194026952788954,0.1891846707730021,Inf,-2.2168957641506064,0.026630215291969093,NA,f,0.027,*,TRUE
